Таблица лексем
+--------------------------------+
|Строка    |Позиция   |Лексема   |
46  :                    i){rioi;}fti(ti,ti){rioi;     i)W$                
47  :                    ){rioi;}fti(ti,ti){rioi;}     )W$                 
48  :                    {rioi;}fti(ti,ti){rioi;}f     W$                  
49  :W->{BrR;Z           {rioi;}fti(ti,ti){rioi;}f     W$                  
50  : SAVESTATE:          6
50  :                    {rioi;}fti(ti,ti){rioi;}f     {BrR;Z$             
51  :                    rioi;}fti(ti,ti){rioi;}ft     BrR;Z$              
52  : TNS_NORULECHAIN/NS_NORULE
52  : RESSTATE            
52  :                    {rioi;}fti(ti,ti){rioi;}f     W$                  
53  :W->{BrV;Z           {rioi;}fti(ti,ti){rioi;}f     W$                  
54  : SAVESTATE:          6
54  :                    {rioi;}fti(ti,ti){rioi;}f     {BrV;Z$             
55  :                    rioi;}fti(ti,ti){rioi;}ft     BrV;Z$              
56  : TNS_NORULECHAIN/NS_NORULE
56  : RESSTATE            
56  :                    {rioi;}fti(ti,ti){rioi;}f     W$                  
57  :W->{rR;Z            {rioi;}fti(ti,ti){rioi;}f     W$                  
58  : SAVESTATE:          6
58  :                    {rioi;}fti(ti,ti){rioi;}f     {rR;Z$              
59  :                    rioi;}fti(ti,ti){rioi;}ft     rR;Z$               
60  :                    ioi;}fti(ti,ti){rioi;}fti     R;Z$                
61  :R->i                ioi;}fti(ti,ti){rioi;}fti     R;Z$                
62  : SAVESTATE:          7
62  :                    ioi;}fti(ti,ti){rioi;}fti     i;Z$                
63  :                    oi;}fti(ti,ti){rioi;}fti(     ;Z$                 
64  : TS_NOK/NS_NORULECHAIN
64  : RESSTATE            
64  :                    ioi;}fti(ti,ti){rioi;}fti     R;Z$                
65  :R->i(A)             ioi;}fti(ti,ti){rioi;}fti     R;Z$                
66  : SAVESTATE:          7
66  :                    ioi;}fti(ti,ti){rioi;}fti     i(A);Z$             
67  :                    oi;}fti(ti,ti){rioi;}fti(     (A);Z$              
68  : TS_NOK/NS_NORULECHAIN
68  : RESSTATE            
68  :                    ioi;}fti(ti,ti){rioi;}fti     R;Z$                
69  : TNS_NORULECHAIN/NS_NORULE
69  : RESSTATE            
69  :                    {rioi;}fti(ti,ti){rioi;}f     W$                  
70  :W->{rV;Z            {rioi;}fti(ti,ti){rioi;}f     W$                  
71  : SAVESTATE:          6
71  :                    {rioi;}fti(ti,ti){rioi;}f     {rV;Z$              
72  :                    rioi;}fti(ti,ti){rioi;}ft     rV;Z$               
73  :                    ioi;}fti(ti,ti){rioi;}fti     V;Z$                
74  :V->iT               ioi;}fti(ti,ti){rioi;}fti     V;Z$                
75  : SAVESTATE:          7
75  :                    ioi;}fti(ti,ti){rioi;}fti     iT;Z$               
76  :                    oi;}fti(ti,ti){rioi;}fti(     T;Z$                
77  :T->oRT              oi;}fti(ti,ti){rioi;}fti(     T;Z$                
78  : SAVESTATE:          8
78  :                    oi;}fti(ti,ti){rioi;}fti(     oRT;Z$              
79  :                    i;}fti(ti,ti){rioi;}fti(t     RT;Z$               
80  :R->i                i;}fti(ti,ti){rioi;}fti(t     RT;Z$               
81  : SAVESTATE:          9
81  :                    i;}fti(ti,ti){rioi;}fti(t     iT;Z$               
82  :                    ;}fti(ti,ti){rioi;}fti(ti     T;Z$                
83  : TNS_NORULECHAIN/NS_NORULE
83  : RESSTATE            
83  :                    i;}fti(ti,ti){rioi;}fti(t     RT;Z$               
84  :R->i(A)             i;}fti(ti,ti){rioi;}fti(t     RT;Z$               
85  : SAVESTATE:          9
85  :                    i;}fti(ti,ti){rioi;}fti(t     i(A)T;Z$            
86  :                    ;}fti(ti,ti){rioi;}fti(ti     (A)T;Z$             
87  : TS_NOK/NS_NORULECHAIN
87  : RESSTATE            
87  :                    i;}fti(ti,ti){rioi;}fti(t     RT;Z$               
88  : TNS_NORULECHAIN/NS_NORULE
88  : RESSTATE            
88  :                    oi;}fti(ti,ti){rioi;}fti(     T;Z$                
89  :T->oR               oi;}fti(ti,ti){rioi;}fti(     T;Z$                
90  : SAVESTATE:          8
90  :                    oi;}fti(ti,ti){rioi;}fti(     oR;Z$               
91  :                    i;}fti(ti,ti){rioi;}fti(t     R;Z$                
92  :R->i                i;}fti(ti,ti){rioi;}fti(t     R;Z$                
93  : SAVESTATE:          9
93  :                    i;}fti(ti,ti){rioi;}fti(t     i;Z$                
94  :                    ;}fti(ti,ti){rioi;}fti(ti     ;Z$                 
95  :                    }fti(ti,ti){rioi;}fti(ti,     Z$                  
96  :Z->}M               }fti(ti,ti){rioi;}fti(ti,     Z$                  
97  : SAVESTATE:          10
97  :                    }fti(ti,ti){rioi;}fti(ti,     }M$                 
98  :                    fti(ti,ti){rioi;}fti(ti,t     M$                  
99  :M->ftm()Y           fti(ti,ti){rioi;}fti(ti,t     M$                  
100 : SAVESTATE:          11
100 :                    fti(ti,ti){rioi;}fti(ti,t     ftm()Y$             
101 :                    ti(ti,ti){rioi;}fti(ti,ti     tm()Y$              
102 :                    i(ti,ti){rioi;}fti(ti,ti)     m()Y$               
103 : TS_NOK/NS_NORULECHAIN
103 : RESSTATE            
103 :                    fti(ti,ti){rioi;}fti(ti,t     M$                  
104 : TNS_NORULECHAIN/NS_NORULE
104 : RESSTATE            
104 :                    }fti(ti,ti){rioi;}fti(ti,     Z$                  
105 :Z->}F               }fti(ti,ti){rioi;}fti(ti,     Z$                  
106 : SAVESTATE:          10
106 :                    }fti(ti,ti){rioi;}fti(ti,     }F$                 
107 :                    fti(ti,ti){rioi;}fti(ti,t     F$                  
108 :F->fti(P)W          fti(ti,ti){rioi;}fti(ti,t     F$                  
109 : SAVESTATE:          11
109 :                    fti(ti,ti){rioi;}fti(ti,t     fti(P)W$            
110 :                    ti(ti,ti){rioi;}fti(ti,ti     ti(P)W$             
111 :                    i(ti,ti){rioi;}fti(ti,ti)     i(P)W$              
112 :                    (ti,ti){rioi;}fti(ti,ti){     (P)W$               
113 :                    ti,ti){rioi;}fti(ti,ti){q     P)W$                
114 :P->ti,P             ti,ti){rioi;}fti(ti,ti){q     P)W$                
115 : SAVESTATE:          12
115 :                    ti,ti){rioi;}fti(ti,ti){q     ti,P)W$             
116 :                    i,ti){rioi;}fti(ti,ti){q(     i,P)W$              
117 :                    ,ti){rioi;}fti(ti,ti){q(i     ,P)W$               
118 :                    ti){rioi;}fti(ti,ti){q(iu     P)W$                
119 :P->ti,P             ti){rioi;}fti(ti,ti){q(iu     P)W$                
120 : SAVESTATE:          13
120 :                    ti){rioi;}fti(ti,ti){q(iu     ti,P)W$             
121 :                    i){rioi;}fti(ti,ti){q(iui     i,P)W$              
122 :                    ){rioi;}fti(ti,ti){q(iui)     ,P)W$               
123 : TS_NOK/NS_NORULECHAIN
123 : RESSTATE            
123 :                    ti){rioi;}fti(ti,ti){q(iu     P)W$                
124 :P->ti               ti){rioi;}fti(ti,ti){q(iu     P)W$                
125 : SAVESTATE:          13
125 :                    ti){rioi;}fti(ti,ti){q(iu     ti)W$               
126 :                    i){rioi;}fti(ti,ti){q(iui     i)W$                
127 :                    ){rioi;}fti(ti,ti){q(iui)     )W$                 
128 :                    {rioi;}fti(ti,ti){q(iui){     W$                  
129 :W->{BrR;Z           {rioi;}fti(ti,ti){q(iui){     W$                  
130 : SAVESTATE:          14
130 :                    {rioi;}fti(ti,ti){q(iui){     {BrR;Z$             
